"","State","Month","Race","Vaccine","Population","Republican.Rep.","Democratics.Rep.","Region","Season"
"72","Michigan","Aug","White",1.2,132.2367569,0.34,0.47,"Midwest","Far"
"73","Minnesota","Aug","White",1.3,55.95608978,0.39,0.46,"Midwest","Far"
"74","Mississippi","Aug","White",1.4,35.99025877,0.44,0.42,"South","Far"
"75","Missouri","Aug","White",1.4,70.46388865,0.41,0.42,"Midwest","Far"
"76","Montana","Aug","White",1.3,6.225926791,0.49,0.3,"West","Far"
"77","Nebraska","Aug","White",1.5,19.74081011,0.47,0.36,"Midwest","Far"
"78","Nevada","Aug","White",2.3,13.31713203,0.37,0.46,"West","Far"
"79","New Hampshire","Aug","White",0.8,135.2202029,0.35,0.44,"Northeast","Far"
"80","New Jersey","Aug","White",NA,665.7877072,0.3,0.51,"Northeast","Far"
"81","New Mexico","Aug","White",1.1,6.43256293,0.37,0.48,"West","Far"
"82","New York","Aug","White",1.5,231.5894037,0.28,0.53,"Northeast","Far"
"83","North Carolina","Aug","White",2.3,132.8646907,0.41,0.43,"South","Far"
"84","North Dakota","Aug","White",1.3,9.236904658,0.5,0.33,"Midwest","Far"
"85","Ohio","Aug","White",1.9,224.7545723,0.42,0.4,"Midwest","Far"
"86","Oklahoma","Aug","White",1.5,37.52146944,0.45,0.4,"South","Far"
"87","Oregon","Aug","White",0.9,32.63181359,0.32,0.47,"West","Far"
"88","Pennsylvania","Aug","White",1.4,218.2271531,0.39,0.46,"Northeast","Far"
"89","Rhode Island","Aug","White",1.2,738.5589942,0.3,0.48,"Northeast","Far"
"90","South Carolina","Aug","White",2.4,106.2007904,0.43,0.39,"South","Far"
"91","South Dakota","Aug","White",1.2,9.432751851,0.53,0.37,"Midwest","Far"
"92","Tennessee","Aug","White",1.5,120.3839398,0.48,0.36,"South","Far"
"93","Texas","Aug","White",2,45.26330017,0.39,0.4,"South","Far"
"94","Utah","Aug","White",1.4,29.55524048,0.54,0.3,"West","Far"
"95","Vermont","Aug","White",0.9,62.56957509,0.29,0.57,"Northeast","Far"
"96","Virginia","Aug","White",1.7,131.9899995,0.43,0.39,"South","Far"
"97","Washington","Aug","White",2,76.2533868,0.33,0.44,"West","Far"
"98","West Virginia","Aug","White",1.7,69.35313655,0.43,0.41,"South","Far"
"99","Wisconsin","Aug","White",1.3,86.65012704,0.42,0.42,"Midwest","Far"
"100","Wyoming","Aug","White",0.9,5.010926317,0.57,0.25,"West","Far"
"101","Alabama","Sep","White",8.2,62.88571429,0.52,0.35,"South","Near"
"102","Alaska","Sep","White",7.2,0.785223985,0.39,0.32,"West","Near"
"103","Arizona","Sep","White",8.3,33.76074867,0.4,0.39,"West","Near"
"104","Arkansas","Sep","White",6.8,41.73417187,0.46,0.38,"South","Near"
"105","California","Sep","White",10.2,93.7126041,0.3,0.49,"West","Near"
"106","Colorado","Sep","White",8.7,36.84618722,0.41,0.42,"West","Near"
"107","Connecticut","Sep","White",7,494.0544892,0.32,0.5,"Northeast","Near"
"108","Delaware","Sep","White",10.1,305.8398977,0.29,0.55,"South","Near"
"109","Florida","Sep","White",8.1,209.0564105,0.37,0.44,"South","Near"
"110","Georgia","Sep","White",8.3,94.7365804,0.41,0.41,"South","Near"
"111","Hawaii","Sep","White",10.2,48.35497431,0.28,0.51,"West","Near"
"112","Idaho","Sep","White",6.8,17.00646518,0.49,0.32,"West","Near"
"113","Illinois","Sep","White",7.2,140.9219146,0.33,0.48,"Midwest","Near"
"114","Indiana","Sep","White",7.4,147.1643435,0.42,0.37,"Midwest","Near"
"115","Iowa","Sep","White",8.5,48.34451902,0.41,0.4,"Midwest","Near"
"116","Kansas","Sep","White",7.6,27.01855224,0.46,0.31,"Midwest","Near"
